Name,Gender,Department,Salary,Location,Rating
Ches Bonnell,Male,Sales,"$88,050 ",Lagos,Very Good
Garwin Peasegood,Female,Engineering,"$68,220 ",Lagos,Good
Sidoney Yitzhok,Female,NULL,"$118,440 ",Abuja,Not Rated
Saunders Blumson,Undisclosed,Legal,"$56,370 ",Kaduna,Very Good
Gardy Grigorey,Female,Support,"$107,090 ",Kaduna,Poor
Marlie Charsley,Male,Support,"$108,450 ",Abuja,Poor
Adella Hartshorne,Female,Human Resources,"$41,160 ",Lagos,Average
Rasla Fisby,Male,Legal,"$109,000 ",Abuja,Very Good
Rayna Gamlin,Undisclosed,Services,,Abuja,Average
Willi Vasey,Female,Support,"$43,020 ",Kaduna,Average
Selby Hacker,Male,Business Development,"$37,800 ",Lagos,Average
Stefa Eggleston,Male,Sales,"$88,380 ",Kaduna,Average
Phylys Benitez,Female,Product Management,"$84,420 ",Abuja,Average
Ronnie Sinyard,Female,Legal,"$101,760 ",Abuja,Good
Axel Grigaut,Male,Sales,"$110,780 ",Abuja,Poor
Timmi Durran,Male,Human Resources,"$68,430 ",Abuja,Good
Minna Showler,Female,Training,"$105,370 ",Kaduna,Good
Dyanne Strafen,Male,Engineering,"$113,800 ",Lagos,Average
Dorolice Farry,Female,Sales,"$76,300 ",Kaduna,Average
Elliot Tuplin,Female,Sales,"$44,530 ",Kaduna,Average
Lion Adcock,Female,Legal,"$63,710 ",Lagos,Average
Vic Radolf,Female,Product Management,"$62,780 ",Abuja,Very Good
Tiffani Mecozzi,Female,Training,"$119,750 ",Lagos,Average
Jeane Bermingham,Male,Research and Development,"$116,980 ",Kaduna,Very Poor
Gavan Puttan,Male,Accounting,"$35,940 ",Abuja,Good
Danielle Johananoff,Male,Services,"$109,040 ",Lagos,Average
Rafaelita Blaksland,Female,Services,"$109,160 ",Kaduna,Good
Brit Hamnett,Male,Human Resources,"$75,540 ",Abuja,Average
Mable Phythian,Female,Engineering,"$30,000 ",Kaduna,Average
Joella Maevela,Female,Sales,"$76,210 ",Abuja,Good
Mollie Hanway,Male,NULL,"$112,650 ",Lagos,Average
Obidiah Westrope,Male,Legal,"$108,460 ",Kaduna,Good
Murry Dryburgh,Male,Research and Development,"$69,070 ",Kaduna,Poor
Abbie Tann,Female,Business Development,"$116,520 ",Lagos,Good
Aluin Churly,Female,Research and Development,"$96,560 ",Kaduna,Not Rated
Bennett Gimenez,Female,Human Resources,"$36,460 ",Abuja,Good
Isa Mogie,Female,Training,"$50,950 ",Kaduna,Good
Yves Clunie,Female,Marketing,"$75,440 ",Lagos,Average
